Code,Entity,Urban_Rural,POPULATION1990PCT,POPULATION2000PCT,POPULATION2010PCT
LVA,Latvia,URBAN,26,25,25
MAC,Macao,RURAL,14,16,16
MAC,Macao,URBAN,86,84,84
MAR,Morocco (includes Western Sahara),RURAL,4,4,4
MAR,Morocco (includes Western Sahara),URBAN,17,18,18
MCO,Monaco,RURAL,20,20,20
MCO,Monaco,URBAN,80,80,80
MDA,Republic of Moldova,RURAL,0,0,0
MDA,Republic of Moldova,URBAN,0,0,0
MDG,Madagascar,RURAL,9,9,9
MDG,Madagascar,URBAN,3,3,3
MDV,Maldives,RURAL,0,0,0
MDV,Maldives,URBAN,0,0,0
MEX,Mexico,RURAL,2,2,2
MEX,Mexico,URBAN,4,4,4
MHL,Marshall Islands,RURAL,68,69,0
MHL,Marshall Islands,URBAN,32,31,0
MKD,Macedonia,RURAL,0,0,0
MKD,Macedonia,URBAN,0,0,0
MLI,Mali,RURAL,0,0,0
MLI,Mali,URBAN,0,0,0
MLT,Malta,RURAL,6,6,5
MLT,Malta,URBAN,94,94,95
MMR,Myanmar,RURAL,7,6,6
MMR,Myanmar,URBAN,2,2,2
MNG,Mongolia,RURAL,0,0,0
MNG,Mongolia,URBAN,0,0,0
MNP,Northern Mariana Islands,RURAL,19,19,0
MNP,Northern Mariana Islands,URBAN,81,81,0
MOZ,Mozambique,RURAL,7,6,6
MOZ,Mozambique,URBAN,9,11,11
MRT,Mauritania,RURAL,7,8,8
MRT,Mauritania,URBAN,7,7,7
MSR,Montserrat,RURAL,100,100,100
MSR,Montserrat,URBAN,0,0,0
MTQ,Martinique,RURAL,3,2,2
MTQ,Martinique,URBAN,96,96,96
MUS,Mauritius,RURAL,6,7,6
MUS,Mauritius,URBAN,67,67,66
MWI,Malawi,RURAL,0,0,0
MWI,Malawi,URBAN,0,0,0
MYS,Malaysia,RURAL,10,10,10
MYS,Malaysia,URBAN,21,22,22
MYT,Mayotte,RURAL,68,62,62
MYT,Mayotte,URBAN,32,38,38
NAM,Namibia,RURAL,1,1,1
NAM,Namibia,URBAN,3,4,4
NCL,New Caledonia,RURAL,27,26,26
NCL,New Caledonia,URBAN,71,72,72
NER,Niger,RURAL,0,0,0
NER,Niger,URBAN,0,0,0
NFK,Norfolk Island,RURAL,100,100,100
NFK,Norfolk Island,URBAN,0,0,0
NGA,Nigeria,RURAL,1,1,1
NGA,Nigeria,URBAN,1,1,1
NIC,Nicaragua,RURAL,5,4,4
NIC,Nicaragua,URBAN,1,2,2
NIU,Niue,RURAL,100,100,100
NIU,Niue,URBAN,0,0,0
NLD,Netherlands,RURAL,4,4,4
NLD,Netherlands,URBAN,22,22,22
NOR,Norway,RURAL,12,12,12
NOR,Norway,URBAN,32,33,33
NPL,Nepal,RURAL,0,0,0
NPL,Nepal,URBAN,0,0,0
NRU,Nauru,RURAL,15,15,0
NRU,Nauru,URBAN,85,85,0
NZL,New Zealand,RURAL,8,8,8
NZL,New Zealand,URBAN,55,57,57
OMN,Oman,RURAL,5,4,4
OMN,Oman,URBAN,44,51,51
PAK,Pakistan,RURAL,0,0,0
PAK,Pakistan,URBAN,3,3,3
PAN,Panama,RURAL,12,10,10
PAN,Panama,URBAN,30,36,36
PCN,Pitcairn,RURAL,100,100,0
PCN,Pitcairn,URBAN,0,0,0
PER,Peru,RURAL,1,1,1
PER,Peru,URBAN,25,25,25
PHL,Philippines,RURAL,31,31,31
PHL,Philippines,URBAN,17,16,16
PLW,Palau,RURAL,22,21,0
PLW,Palau,URBAN,78,79,0
PNG,Papua New Guinea,RURAL,15,15,15
PNG,Papua New Guinea,URBAN,8,8,8
POL,Poland,RURAL,1,1,1
POL,Poland,URBAN,2,2,2
PRI,Puerto Rico,RURAL,2,2,2
PRI,Puerto Rico,URBAN,52,51,51
PRK,"Korea, Dem. People's Rep. of",RURAL,13,13,13
PRK,"Korea, Dem. People's Rep. of",URBAN,10,9,9
PRT,Portugal,RURAL,4,5,4
PRT,Portugal,URBAN,35,35,34
PRY,Paraguay,RURAL,0,0,0
PRY,Paraguay,URBAN,0,0,0
PSE,Occupied Palestinian Territory,RURAL,1,1,1
PSE,Occupied Palestinian Territory,URBAN,32,33,32
PYF,French Polynesia,RURAL,48,47,0
PYF,French Polynesia,URBAN,50,51,0
QAT,Qatar,RURAL,4,4,4
QAT,Qatar,URBAN,67,62,62
REU,Reunion,RURAL,3,3,3
REU,Reunion,URBAN,87,88,88
ROU,Romania,RURAL,0,0,0
ROU,Romania,URBAN,0,0,0
RUS,Russia,RURAL,0,0,0
RUS,Russia,URBAN,4,3,3
RWA,Rwanda,RURAL,0,0,0
RWA,Rwanda,URBAN,0,0,0
SAU,Saudi Arabia,RURAL,1,1,1
SAU,Saudi Arabia,URBAN,9,10,10
SCG,Serbia and Montenegro,RURAL,0,0,0
SCG,Serbia and Montenegro,URBAN,0,0,0
SDN,Sudan,RURAL,0,0,0
SDN,Sudan,URBAN,1,1,1
SEN,Senegal,RURAL,4,4,4
SEN,Senegal,URBAN,26,29,29
SGP,Singapore,RURAL,4,4,4
SGP,Singapore,URBAN,87,87,87
SHN,Saint Helena,RURAL,100,100,0
SHN,Saint Helena,URBAN,0,0,0
