,Entity,Code,Year,kg_per_yr_per_capita,Production_in_tons,Population (historical estimates),Life_Expectancy_years,continent,fish_and_seafood_kg_protein_per_capita,percent_fish_total_protein_per_capita,percent_fish_protein_all_animal,Marine protected areas (% of territorial waters)
193,French Polynesia,PYF,2018,44.7337,13460.0,297615,77.46,Oceania,4.64706466,14.45847109,22.19869785,0.0043153893202543
194,French Polynesia,PYF,2019,44.27007,13740.0,299730,77.66,Oceania,4.64248683,14.51818711,22.64056988,0.0043150000274181
195,French Polynesia,PYF,2020,43.95048,13740.0,301935,77.84,Oceania,4.61154432,14.40237632,22.21858631,0.0043150000274181
196,Gabon,GAB,2016,32.186367,31050.0,2086210,65.42,Africa,3.253190615,11.7438166,25.19727768,0.9689987897872924
197,Gabon,GAB,2017,29.842867,29040.0,2140225,65.84,Africa,2.96527898,10.98213047,24.16068784,28.82717704772949
198,Gabon,GAB,2018,29.136076,29050.0,2192013,66.19,Africa,2.89683564,10.45460328,22.31584707,28.82717704772949
199,Gabon,GAB,2019,28.479666,29050.0,2242788,66.47,Africa,2.832128586,10.60505779,22.90534757,28.82714080810547
200,Gabon,GAB,2020,27.863092,29050.0,2292583,66.69,Africa,2.771067116,10.10074965,21.47761693,28.82714080810547
201,Gambia,GMB,2016,24.910168,58300.0,2317212,,Africa,2.694490043,12.27447948,47.12847813,0.0703435838222503
202,Gambia,GMB,2017,25.587755,60500.0,2381189,,Africa,2.91860351,13.33746998,47.61904992,0.0696771293878555
203,Gambia,GMB,2018,20.76783,50700.0,2444916,,Africa,2.256718095,10.68320983,39.1612532,0.0696771293878555
204,Gambia,GMB,2019,24.254885,56230.0,2508882,,Africa,2.599212268,12.18574937,40.54342208,0.0696789994835853
205,Gambia,GMB,2020,23.640882,56230.0,2574005,,Africa,2.532475485,12.0006493,40.64906448,0.6038399934768677
206,Georgia,GEO,2016,8.976197,45380.0,3771112,73.21,Asia,0.952190319,3.186370433,8.684864158,0.6679180860519409
207,Georgia,GEO,2017,9.458779,100330.0,3771904,73.41,Asia,1.016340456,3.403039246,9.103543466,0.6677560806274414
208,Georgia,GEO,2018,9.953437,205910.0,3772323,73.6,Asia,1.080605751,3.536121655,9.189723525,0.6677560806274414
209,Georgia,GEO,2019,10.599196,254200.0,3770814,73.77,Asia,1.129662481,3.512148481,8.837772922,0.6677560210227966
210,Georgia,GEO,2020,10.614025,254200.0,3765912,73.92,Asia,1.128984822,3.491987773,9.051457218,0.6677560210227966
211,Germany,DEU,2016,13.747015,312990.0,82331432,80.99,Europe,1.628826443,4.321345508,7.196908348,45.35655212402344
212,Germany,DEU,2017,12.775198,284220.0,82624368,80.99,Europe,1.570139006,4.18043972,6.98505587,45.35739517211914
213,Germany,DEU,2018,12.724795,284220.0,82896696,80.89,Europe,1.56648364,4.120138708,6.821804405,45.35739517211914
214,Germany,DEU,2019,12.686034,284220.0,83148144,81.29,Europe,1.5617985,4.100885757,6.480073102,45.38045120239258
215,Germany,DEU,2020,12.658737,284220.0,83328992,80.94,Europe,1.559719241,4.055730545,6.426735134,45.38862991333008
216,Ghana,GHA,2016,24.179678,379940.0,29554298,63.12,Africa,2.877372015,14.12536714,59.40450263,0.0926094949245452
217,Ghana,GHA,2017,24.41664,439320.0,30222266,63.46,Africa,2.887455396,13.63560923,56.58166799,0.0974062085151672
218,Ghana,GHA,2018,24.299082,413000.0,30870648,63.78,Africa,2.85784196,13.13915808,55.31335116,0.0974062085151672
